time,ShortWave,Cloud,AirTemp,RelHum,Wind,Rain
2016-06-27 04:00:00,0,1,19.31005249,98.233046,2.777138856,0
2016-06-27 05:00:00,0,1,19.5800415,93.6030851,3.301030141,0.0002064
2016-06-27 06:00:00,57,1,19.85,89.10117545,5.311845197,0.0001728
2016-06-27 07:00:00,173.8880005,1,20.11998901,84.72434292,7.71617792,0.0001656
2016-06-27 08:00:00,278.2399902,1,19.9999939,82.93034613,7.481309853,0.0001344
2016-06-27 09:00:00,383.7080078,1,19.8800293,81.10213736,7.342540602,0.0022704
2016-06-27 10:00:00,734.7839966,1,19.76000366,79.24459131,7.324513482,0
2016-06-27 11:00:00,847.7680054,1,20.85,73.58894073,6.5791183,0
2016-06-27 12:00:00,882.5410156,1,21.93999634,68.36984348,5.836479895,0
2016-06-27 13:00:00,901.9470215,1,23.02999268,63.55326604,5.111653305,0
2016-06-27 14:00:00,860.4190063,1,23.02999268,61.32248704,5.699842156,0
2016-06-27 15:00:00,734.8640137,1,23.02004395,59.12397804,6.289244806,0
2016-06-27 16:00:00,519,1,23.02001343,56.88813056,6.885383181,0
2016-06-27 17:00:00,356.3989868,1,21.32000122,61.44452895,6.084118495,0
2016-06-27 18:00:00,198.8509979,1,19.61998901,66.4031534,5.292296154,0
2016-06-27 19:00:00,17.23200035,1,17.90999756,71.84916228,4.494707958,0
2016-06-27 20:00:00,0,1,16.28005371,72.20324193,4.397863168,0
2016-06-27 21:00:00,0,1,14.66002808,71.81821472,4.309025547,0
2016-06-27 22:00:00,0,1,13.02999268,70.60648884,4.212516955,0
2016-06-27 23:00:00,0,1,12.39000854,72.88611266,4.166461264,0
2016-06-28 00:00:00,0,1,11.7499939,75.24973063,4.118761989,0
2016-06-28 01:00:00,0,1,11.1,77.74597069,4.08104161,0
2016-06-28 02:00:00,0,1,10.58001099,79.50231061,4.047418914,0
2016-06-28 03:00:00,0,1,10.05004272,81.34385249,4.015133766,0
2016-06-28 04:00:00,0,1,9.520013428,83.23291431,3.980376915,0
2016-06-28 05:00:00,0,1,10.6300293,82.66159924,3.783450877,0
2016-06-28 06:00:00,100.776001,1,11.74001465,81.79245429,3.588606915,0
2016-06-28 07:00:00,285.5759888,1,12.85,80.67813596,3.40642044,0
2016-06-28 08:00:00,455.6319885,1,14.71999512,77.69417583,3.611121605,0
2016-06-28 09:00:00,627.5650024,1,16.6,74.41217291,4.123311993,0
2016-06-28 10:00:00,703.2299805,1,18.46999512,71.03117501,4.837365068,0
2016-06-28 11:00:00,811.0930176,1,19.26000366,69.12486537,5.65589941,0
2016-06-28 12:00:00,844.2769775,1,20.05999146,67.21190595,6.478641949,0
2016-06-28 13:00:00,604.8209839,1,20.85,65.38271299,7.301424383,0.0229248
2016-06-28 14:00:00,577.0910034,1,20.2499939,64.29510273,7.716994341,0.0103776
2016-06-28 15:00:00,493.1010132,1,19.64998779,63.03930546,8.25867388,0.0004224
2016-06-28 16:00:00,480.0639954,1,19.05004272,61.60160509,8.896948574,0
2016-06-28 17:00:00,330.2309875,1,17.67000732,64.47193765,8.653323403,0
2016-06-28 18:00:00,185.1569977,1,16.28005371,67.46007073,8.613814781,0
2016-06-28 19:00:00,16.03199959,1,14.89998779,70.47206212,8.771089102,0
2016-06-28 20:00:00,0,1,13.2499939,71.39953675,8.916871787,0
2016-06-28 21:00:00,0,1,11.6,71.72459618,9.100955744,0
2016-06-28 22:00:00,0,1,9.960046387,71.2232782,9.347020997,0
2016-06-28 23:00:00,0,1,8.719995117,74.93856988,8.936330417,0
2016-06-29 00:00:00,0,1,7.490014648,78.76185629,8.511885956,0
2016-06-29 01:00:00,0,1,6.260003662,82.74639216,8.101419772,0
2016-06-29 02:00:00,0,1,5.570001221,84.16203787,7.99808107,0
2016-06-29 03:00:00,0,1,4.879998779,85.53867711,7.915478407,0
2016-06-29 04:00:00,0,1,4.190026855,86.87372136,7.850764393,0
2016-06-29 05:00:00,0,1,4.730004883,83.53295558,7.902708622,0
2016-06-29 06:00:00,103.4000015,1,5.260003662,80.38213194,7.954929286,0
2016-06-29 07:00:00,294.8800049,1,5.790002441,77.36915795,8.008358279,0
2016-06-29 08:00:00,469.1839905,1,7.26003418,71.60860534,7.831040779,0
2016-06-29 09:00:00,645.4689941,1,8.719995117,66.35911668,7.656219734,0
2016-06-29 10:00:00,747.2369995,1,10.18999634,61.4922959,7.482947488,0
2016-06-29 11:00:00,861.6010132,1,10.86998901,59.80148539,8.106299964,0
2016-06-29 12:00:00,896.723999,1,11.54000244,58.18853853,8.729793886,0
2016-06-29 13:00:00,870.5490112,1,12.21999512,56.58216869,9.347726947,0
2016-06-29 14:00:00,830.8209839,1,12.45998535,56.16058362,8.835077818,0
2016-06-29 15:00:00,710.2290039,1,12.69002686,55.7796331,8.394909057,0
2016-06-29 16:00:00,561.8549805,1,12.92000732,55.3948416,8.039228691,0
2016-06-29 17:00:00,387.1830139,1,11.90999756,59.86804111,7.105892157,0
2016-06-29 18:00:00,218.1109924,1,10.89998779,64.72708026,6.175929222,0
2016-06-29 19:00:00,22.25600052,1,9.890039063,70.0141716,5.243243323,0
2016-06-29 20:00:00,0,1,8.909997559,69.55009814,5.474303524,0
2016-06-29 21:00:00,0,1,7.920007324,68.77846863,5.718775967,0
2016-06-29 22:00:00,0,1,6.939996338,67.5497741,5.97501481,0
2016-06-29 23:00:00,0,1,6.689996338,70.37761627,5.242184672,0
2016-06-30 00:00:00,0,1,6.439996338,73.29048296,4.514376892,0
2016-06-30 01:00:00,0,1,6.189996338,76.27712092,3.794482804,0
2016-06-30 02:00:00,0,1,6.020013428,76.3227731,3.656569529,0
2016-06-30 03:00:00,0,1,5.860009766,76.30906979,3.50964383,0
2016-06-30 04:00:00,0,1,5.690026855,76.33231038,3.376166345,0
2016-06-30 05:00:00,0,1,6.790002441,73.60892243,3.372417513,0
2016-06-30 06:00:00,105.8960037,1,7.890008545,70.92383768,3.383962201,0
2016-06-30 07:00:00,282.0639954,1,8.9800354,68.33019056,3.401543834,0
2016-06-30 08:00:00,447.6159973,1,10.39998779,63.31351693,3.576045278,0
2016-06-30 09:00:00,615.0999756,1,11.82000122,58.70375807,3.76860712,0
2016-06-30 10:00:00,778.2869873,1,13.24001465,54.46661687,3.988307817,0
2016-06-30 11:00:00,897.1240234,1,14.15999756,53.60173266,2.976927901,0
2016-06-30 12:00:00,933.6099854,1,15.09005127,52.64126408,2.034944669,0
2016-06-30 13:00:00,730.5139771,1,16.01000366,51.66473127,1.320605974,0
2016-06-30 14:00:00,697.315979,1,16.2000061,52.55442894,1.643958619,0
2016-06-30 15:00:00,596.3619995,1,16.3800293,53.45151,2.122003868,0
2016-06-30 16:00:00,375.6789856,1,16.57000122,54.28744697,2.672863613,0
2016-06-30 17:00:00,259.3280029,1,15.68999634,59.65820025,2.461300412,0
2016-06-30 18:00:00,146.7819977,1,14.80999146,65.4927032,2.279232341,0
2016-06-30 19:00:00,17.61599922,1,13.92998657,71.8362903,2.146928049,0
2016-06-30 20:00:00,0,1,13.39998779,69.49782947,2.07966345,0
2016-06-30 21:00:00,0,1,12.87005005,66.91223853,2.02425294,0
2016-06-30 22:00:00,0,1,12.33999023,64.06390034,1.963670045,0
2016-06-30 23:00:00,0,1,12.46004639,64.83606202,1.919088314,0
2016-07-01 00:00:00,0,1,12.58999023,65.55213024,1.883533876,0
2016-07-01 01:00:00,0,1,12.71999512,66.25039069,1.847430619,0
2016-07-01 02:00:00,0,1,12.4999939,69.33348288,2.139275519,0
2016-07-01 03:00:00,0,1,12.29000244,72.44694116,2.485819813,0
2016-07-01 04:00:00,0,1,12.07000122,75.68463035,2.88015636,0
2016-07-01 05:00:00,0,1,11.42998657,81.71276733,2.272993639,0
2016-07-01 06:00:00,32.16000366,1,10.77999268,88.20557404,1.794129364,0.02952
2016-07-01 07:00:00,77.84799957,1,10.14000854,95.06205935,1.566045973,0.017030399
2016-07-01 08:00:00,123.2320023,1,11.17998657,95.94171925,1.584487304,0.0169632
2016-07-01 09:00:00,169.154007,1,12.21999512,96.32138204,1.627421248,0.0082272
2016-07-01 10:00:00,254.8159943,1,13.27001343,96.20953212,1.686564534,0.0079296
2016-07-01 11:00:00,293.6459961,1,14.52999268,95.79463813,1.220163952,0.034368001
2016-07-01 12:00:00,305.5629883,1,15.79000244,94.91781314,1.408012748,0
2016-07-01 13:00:00,356.5610046,1,17.05004272,93.66082042,2.064218961,0
2016-07-01 14:00:00,340.4460144,1,17.7000061,90.56016361,1.312440486,0.0003264
2016-07-01 15:00:00,291.2810059,1,18.35,87.5749979,0.590762193,0
2016-07-01 16:00:00,340.2520142,1,18.99001465,84.75574554,0.374833301,0
2016-07-01 17:00:00,235.2709961,1,18.17998657,87.78090363,0.671192941,0.0000576
2016-07-01 18:00:00,133.7610016,1,17.36004028,90.98158156,1.259285533,0
2016-07-01 19:00:00,9.663999557,1,16.55001221,94.24318682,1.884091298,0
2016-07-01 20:00:00,0,1,15.69002686,96.28755185,2.590694802,0
2016-07-01 21:00:00,0,1,14.82000122,98.36536505,3.317468868,0
2016-07-01 22:00:00,0,1,13.95998535,100,4.067529945,0.0057216
2016-07-01 23:00:00,0,1,13.64000854,100,3.47224718,0.004512
2016-07-02 00:00:00,0,1,13.32003174,100,2.875430316,0
2016-07-02 01:00:00,0,1,12.9999939,100,2.278618004,0
2016-07-02 02:00:00,0,1,12.7499939,100,2.080023962,0.004512
2016-07-02 03:00:00,0,1,12.4999939,100,1.931967884,0.004512
2016-07-02 04:00:00,0,1,12.24001465,100,1.866252944,0
2016-07-02 05:00:00,0,1,12.58999023,100,2.302216371,0
2016-07-02 06:00:00,66.88800049,1,12.9500061,98.70578524,2.755721412,0
2016-07-02 07:00:00,167.3919983,1,13.30001221,96.12906484,3.204262679,0
2016-07-02 08:00:00,264.3519897,1,14.09005127,93.77948951,3.197139313,0.0042912
2016-07-02 09:00:00,362.5010071,1,14.89000854,91.39657151,3.200015719,0
2016-07-02 10:00:00,481.4049988,1,15.69002686,89.03942563,3.238348243,0
2016-07-02 11:00:00,554.6259766,1,16.45998535,87.65690328,3.346117187,0
2016-07-02 12:00:00,577.0809937,1,17.24004517,86.17253147,3.594273146,0
2016-07-02 13:00:00,350.1440125,1,18.01000366,84.70319136,3.938591185,0
2016-07-02 14:00:00,334.3909912,1,18.01000366,86.75562717,4.110243206,0
2016-07-02 15:00:00,286.2330017,1,17.9999939,88.86257469,4.28123812,0.001104
2016-07-02 16:00:00,278.269989,1,17.9999939,90.91655699,4.452999047,0
2016-07-02 17:00:00,192.7420044,1,17.76000366,92.30586481,3.780476132,0
2016-07-02 18:00:00,110.0770035,1,17.52999268,93.65676033,3.127059207,0.001104
2016-07-02 19:00:00,14.72000027,1,17.29000244,95.09312386,2.508326174,0.0024864
2016-07-02 20:00:00,0,1,16.36998901,97.15782218,2.45800739,0.0018144
2016-07-02 21:00:00,0,1,15.4500061,99.16766463,2.414042347,0.001104
2016-07-02 22:00:00,0,1,14.52999268,100,2.374131306,0.001584
2016-07-02 23:00:00,0,1,14.32000122,100,2.620934833,0.0002784
2016-07-03 00:00:00,0,1,14.11000977,100,2.883626076,0
2016-07-03 01:00:00,0,1,13.89998779,100,3.158243071,0.000048
2016-07-03 02:00:00,0,1,13.6,100,3.010149488,0
2016-07-03 03:00:00,0,1,13.30001221,100,2.941598291,0
2016-07-03 04:00:00,0,1,12.9999939,100,2.938043517,0
2016-07-03 05:00:00,0,1,13.08999023,100,2.774112371,0
2016-07-03 06:00:00,35.42399979,1,13.18999634,98.19232612,2.614670226,0
2016-07-03 07:00:00,91.87200165,1,13.28005371,95.95941612,2.460589361,0
2016-07-03 08:00:00,144.7519989,1,13.58999023,94.07980044,2.469696436,0
2016-07-03 09:00:00,198.3079987,1,13.89998779,92.24110716,2.492388613,0
2016-07-03 10:00:00,271.8389893,1,14.22002563,90.38590218,2.544661017,0
2016-07-03 11:00:00,313.1220093,1,14.7000061,90.12603711,2.596709426,0
2016-07-03 12:00:00,325.7619934,1,15.18999634,89.75597875,2.644617266,0
2016-07-03 13:00:00,452.5010071,1,15.67998657,89.32639763,2.702073316,0
2016-07-03 14:00:00,432.2170105,1,16.49001465,85.20322999,2.424046471,0
2016-07-03 15:00:00,370.1430054,1,17.30999146,81.24208058,2.295822365,0
2016-07-03 16:00:00,486.8080139,1,18.12005005,77.53483869,2.342583958,0
2016-07-03 17:00:00,337.7319946,1,17.4500061,80.65377687,2.282651938,0
2016-07-03 18:00:00,193.7129974,1,16.77999268,83.91896355,2.244393044,0
2016-07-03 19:00:00,22.99200058,1,16.1,87.38781426,2.226477126,0
2016-07-03 20:00:00,0,1,15.1,86.2744166,2.110734415,0
2016-07-03 21:00:00,0,1,14.08999023,84.72433601,1.994617796,0
2016-07-03 22:00:00,0,1,13.08999023,82.5481666,1.882471792,0
2016-07-03 23:00:00,0,1,12.64998779,83.33173915,1.763093891,0
2016-07-04 00:00:00,0,1,12.20998535,84.1009249,1.639542653,0
2016-07-04 01:00:00,0,1,11.77001343,84.85387944,1.518222687,0
2016-07-04 02:00:00,0,1,11.23000488,87.05685379,1.679047338,0
2016-07-04 03:00:00,0,1,10.68999634,89.31627297,2.177452748,0.002736
2016-07-04 04:00:00,0,1,10.14000854,91.70488787,2.835577706,0
2016-07-04 05:00:00,0,1,11.32003174,90.84907395,2.578003219,0
2016-07-04 06:00:00,106.288002,1,12.49001465,89.71195789,2.379516887,0
